product_name,product_src_image,product_price_new,product_price_old
Smart TV 4K The Sero Samsung 43 INCH 43LS05BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/6/46_1_13.jpg",24.900.000 ₫,28.900.000 ₫
Android Tivi Toshiba 32 inch HD 32V35KP,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/_/t_i_xu_ng_7__2_2_1.png",6.990.000 ₫,0
Smart TV Samsung QLED 55 inch 55Q60BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/5/55_1_12_1.jpg",13.990.000 ₫,22.900.000 ₫
Khung treo Tivi Camel 19-40 inch KTT40TT,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/0/40_1_42.jpg",200.000 ₫,0
Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU8000KXXV,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/0/40_1_31_1.jpg",13.500.000 ₫,20.000.000 ₫
Smart Tivi Samsung Crystal UHD 4K 65 inch 65AU7700,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_195.jpg",14.190.000 ₫,26.900.000 ₫
Smart Tivi The Serif Samsung LTV 55 inch 55LS01BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq43lsb01afxkr_007_front_white_1.png",23.500.000 ₫,28.900.000 ₫
Smart Tivi Sony 4K 75 inch KD-75X80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x80k-1_1_1.jpg",43.680.000 ₫,0
Smart Tivi Sony 4K 50 inch XR-50X90J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_198_2.png",32.060.000 ₫,0
Smart Tivi Sony 4K 50 inch KD-50X81DK VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_196_1_1.png",22.680.000 ₫,0
Smart Tivi Samsung Crystal UHD 55 Inch 55BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_10.jpg",13.200.000 ₫,18.900.000 ₫
Smart Tivi Sony 4K 85 inch KD-85X85K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_175_2.png",74.900.000 ₫,0
Smart TV Samsung QLED 65 inch 65Q80BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/2/42_1_14.jpg",41.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 60 Inch 60BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_10_1.jpg",22.900.000 ₫,0
Smart Tivi LG 4K UHD 43 inch 43UP7550PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_181_2.png",16.000.000 ₫,0
Smart Tivi Sony 4K 85 inch XR-85X90K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_174_3.png",86.660.000 ₫,0
Smart Tivi LG 4K UHD 50 inch 50UP7550PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_181_3_1.png",12.000.000 ₫,0
Smart TV Samsung Neo QLED 4K 65 inch 65QN90BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/5/15_3_65.jpg",60.900.000 ₫,0
Smart Tivi Sony 4K 75 inch XR-75X95K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_176_4.png",117.180.000 ₫,0
Smart TV Samsung Neo QLED 4K 55 inch 55QN90BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/5/15_3_66.jpg",42.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 70 Inch 70BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_11_4.jpg",30.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 55 inch 55BU8500,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_44_samsung_8500bu_-1_1_1.jpg",21.400.000 ₫,0
Smart Tivi Sony 4K 50 inch KD-50X86J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/_/2_174_1.png",23.100.000 ₫,0
Smart TV Samsung Neo QLED 8K 65 inch 65QN900B,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/1/11_6_8.jpg",109.900.000 ₫,0
Smart TV Samsung Neo QLED 4K 75 inch 75QN85BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/8/28_1_41.jpg",79.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 65 inch 65BU8500,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_8500bu_-10.jpg",28.400.000 ₫,0
Smart TV Samsung QLED 85 inch 85Q80BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/2/42_1_15_1_1_1.jpg",92.900.000 ₫,0
Smart TV Samsung NEO QLED 8K 55 inch 55QN700B,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/5/25_1_52_1.jpg",52.900.000 ₫,0
Smart Tivi Sony 4K 77 inch XR-77A80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_187_3.png",109.200.000 ₫,0
Smart TV Samsung Neo QLED 4K 75 inch 75QN90BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/5/15_3_64.jpg",85.900.000 ₫,0
Smart Tivi Samsung Crystal UHD 85 inch 85BU8500,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_10_5.jpg",59.900.000 ₫,0
Smart TV Samsung QLED 50 inch 50Q80BAK,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/2/42_1_15.jpg",28.900.000 ₫,0
Smart TV Samsung Crystal UHD 50 inch 50BU8000,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/i/tivi_4k_samsung_55_inch_-_10_7.jpg",16.900.000 ₫,0
Smart Tivi LG 4K UHD 65 inch 65UP7720PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/_/2_154.png",22.000.000 ₫,0
Smart Tivi LG 4K UHD 65 inch 65UP7550PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_180_1.png",21.000.000 ₫,0
Smart Tivi LG 4K UHD 43 inch 43UP7720PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_179_2.png",14.000.000 ₫,0
Smart Tivi Sony 4K 65 inch KD-65X86J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_198_3.png",29.120.000 ₫,0
Smart Tivi Sony 4K 65 inch XR-65A80K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_185_1.png",66.920.000 ₫,0
Smart Tivi Sony 4K 50 inch KD-50X85K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_189_3.png",25.480.000 ₫,0
Smart Tivi Sony 4K 85 inch XR-85X95K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/7/_/7_71.png",143.220.000 ₫,0
Smart Tivi Sony HD 50 inch KDL 50W660G ZVN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_200_1.png",14.700.000 ₫,0
Smart Tivi LG 4K UHD 55 inch 55UP7720PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_178_1.png",17.500.000 ₫,0
Smart Tivi LG 4K UHD 55 inch 55UP7550PTC,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_181_3.png",14.500.000 ₫,0
Smart Tivi The Serif Samsung LTV 50 inch 50LS01BA,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/q/kq43lsb01afxkr_007_front_white_1_1.png",22.600.000 ₫,24.900.000 ₫
Smart Tivi Sony 4K 65 inch XR-65X95K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_190_1.png",82.180.000 ₫,0
Smart Tivi Sony 4K 50 inch KD-50X75K VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/m/smart-tivi-sony-4k-50-inch-kd-50x75k-1.jpg",19.180.000 ₫,0
Smart Tivi Sony 4K 55 inch KD-55X81DK VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_196_1_1_1.png",24.920.000 ₫,0
Smart Tivi Sony 4K 55 inch XR-55A90J VN3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_197_1.png",59.780.000 ₫,0
