product_name,product_src_image,product_price_new,product_price_old
iPad Gen 10 10.9 inch 2022 Wifi + 5G 64GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-2022-hero-silver-wifi-select_1_1.png",14.490.000 ₫,16.990.000 ₫
iPad Pro 12.9 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3.jpg",28.490.000 ₫,31.990.000 ₫
Huawei MatePad SE 10.4,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/w/hww.jpg",5.490.000 ₫,6.290.000 ₫
Samsung Galaxy Tab S8 Plus 5G 256GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/s/e/series_tab_s8001_1_3.jpg",25.450.000 ₫,27.990.000 ₫
Máy tính bảng Lenovo Tab P11 Plus 4GB 64GB ZA9L0163VN,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tab_p11_plus.png",5.990.000 ₫,8.190.000 ₫
iPad Pro 12.9 2021 M1 5G 128GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-12-9-2021-2_2_1_1_1_1_1.png",25.990.000 ₫,33.990.000 ₫
Máy Tính Bảng Lenovo Tab M8 Gen 2 2GB 32GB (ZA5H0096VN),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_293.jpg",1.990.000 ₫,3.690.000 ₫
iPad 10.2 2021 4G 256GB | Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/x/_/x_mmas_2.png",14.290.000 ₫,17.990.000 ₫
iPad Gen 10 10.9 inch 2022 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-2022-hero-silver-wifi-select_1_1_1.png",17.990.000 ₫,20.990.000 ₫
Máy đọc sách Kindle Paperwhite 5 8GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/grgf.png",4.090.000 ₫,5.990.000 ₫
OPPO Pad Air,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/o/k/okcscsfd.png",6.690.000 ₫,6.990.000 ₫
iPad Air 10.9 2020 4G 64GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/4/_/4_189_4.jpg",14.990.000 ₫,20.990.000 ₫
iPad Pro 11 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_1_1_1.jpg",28.990.000 ₫,30.990.000 ₫
Máy Tính Bảng Huawei Matepad 2022 4GB 128GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/u/huawei-matepad-bah4-l09-mategrey_1.jpg",5.990.000 ₫,7.490.000 ₫
Huawei MatePad 11,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/h/u/huawei-tablet-matepad-11-wi-fi-6_128-.jpg",8.990.000 ₫,10.990.000 ₫
Máy tính bảng Lenovo Tab M10 Gen 3 4GB 64GB ZAAF0009VN Xám,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/v/dvrfg6666.jpg",4.990.000 ₫,6.190.000 ₫
Lenovo Tab P11 Pro,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/e/lenovo-tab-p11-pro.jpg",9.390.000 ₫,14.590.000 ₫
iPad 10.2 2020 4G 32GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-2020-gray_1_4.jpg",8.490.000 ₫,13.590.000 ₫
Lenovo Yoga Tab 11,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/l/e/lenovo-yoga-tab-11-600x600_1.jpg",9.390.000 ₫,10.990.000 ₫
iPad Pro 12.9 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_1.jpg",31.490.000 ₫,34.990.000 ₫
Máy đọc sách Kindle Oasis 3 32GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/_/k_x_m_2.png",7.890.000 ₫,8.990.000 ₫
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_3.jpg",35.990.000 ₫,38.990.000 ₫
Máy đọc sách Kindle Oasis 3 8GB,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/k/_/k_x_m.png",6.590.000 ₫,7.990.000 ₫
iPad Pro 12.9 inch 2022 M2 Wifi + 5G 128GB | Chính Hãng,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_3_1_1.jpg",31.990.000 ₫,35.990.000 ₫
Máy tính bảng Lenovo Tab M10 FHD Plus (ZA5V0362VN),"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/t/a/tab-m10-gen-2-1_1_.jpg",4.790.000 ₫,6.490.000 ₫
iPad Pro 12.9 inch 2022 M2 Wifi 512GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_4.jpg",35.490.000 ₫,39.990.000 ₫
iPad Pro 11 2020 4G 256GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad_pro_11_2020_wifi__3.png",25.000.000 ₫,30.990.000 ₫
iPad Pro 11 inch 2022 M2 Wifi + 5G 512GB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_1_1_1_1.jpg",33.990.000 ₫,36.990.000 ₫
iPad Pro 11 inch 2022 M2 Wifi 1TB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/v/dvfbf_1.jpg",44.990.000 ₫,0
iPad Pro 12.9 inch 2022 M2 Wifi 2TB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_4_1_1.jpg",63.990.000 ₫,0
iPad Pro 11 inch 2022 M2 Wifi 2TB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/d/v/dvfbf_1_1.jpg",55.990.000 ₫,0
iPad Pro 11 inch 2022 M2 Wifi + 5G 2TB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-silver-202210-01_1_1_1_1_1_1.jpg",59.990.000 ₫,0
iPad Pro 12.9 inch 2022 M2 Wifi 1TB I Chính hãng Apple Việt Nam,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/i/p/ipad-pro-13-select-wifi-spacegray-202210-02_3_4_1.jpg",51.990.000 ₫,0
