product_name,product_src_image,product_price_new,product_price_old
Tai nghe không dây Xiaomi Redmi Buds 3 Lite,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/x/i/xiaomi_group_175.png",390.000 ₫,590.000 ₫
Tai nghe không dây Samsung Galaxy Buds2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/f/r/frame_1_3_9.png",1.890.000 ₫,2.990.000 ₫
Tai nghe không dây Xiaomi Redmi Buds 3,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_161_1_.png",890.000 ₫,1.490.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_182_2.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_199_1__3.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_116_1_.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/m/i/microphone-khong-day-jbl-micas-2-1.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/2/12_5_135.jpg",,
Microphone thu âm có dây Devia Smart 3.5mm,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/7/27_2_65.jpg",170.000 ₫,200.000 ₫
Microphone thu âm có dây Devia Smart Lightning,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/7/27_2_65_2_1.jpg",250.000 ₫,330.000 ₫
Microphone thu âm không dây Boya By WM3T2-U1,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/7/17_2_120.jpg",1.070.000 ₫,1.190.000 ₫
Microphone thu âm có dây Devia Smart Type-C,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/2/7/27_2_65_2.jpg",190.000 ₫,280.000 ₫
Microphone thu âm không dây Boya By WM3T2-U2,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/4/14_2_136.jpg",1.520.000 ₫,1.690.000 ₫
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/5/_/5_36_37.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_202_3.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_203_3.png",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/1/_/1_75_62.jpg",,
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/8/_/8_13_31.jpg",,
Microphone JBL Quantum Stream,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/_/0/_0001_8.jbl_quantum_stream_product_ima.jpg",Giá Liên Hệ,0
Microphone Rode không dây Go II 2 Mic,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_208_1__1.png",Giá Liên Hệ,0
Microphone DJI không dây (TX + RX) 1 Mic,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_207_1_.png",Giá Liên Hệ,0
Bộ Micro Saramonic không dây Blink500 Pro B5 Type-C,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_206_1.png",5.850.000 ₫,0
Bộ Micro Saramonic không dây Blink500 Pro B3 iOS,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_204_2_3.png",5.850.000 ₫,0
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_206_2_.png",,0
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_206_5_.png",,0
,"https://cdn2.cellphones.com.vn/358x358,webp,q100/media/catalog/product/g/r/group_207_2.png",,0
